student_id,gender,age,study_hours_per_day,attendance_pct,sleep_hours,extra_curricular,internet_access,parent_education,math_score,science_score,english_score,history_score,cs_score,avg_score,grade,pass_fail,score_band
STU0001,Male,19,6.0,89.1,8.7,No,Yes,High School,45.3,38.0,46.0,45.5,46.5,44.26,D,Pass,40–55
STU0002,Female,18,4.7,100.0,8.1,No,Yes,Master,45.7,50.9,48.5,62.1,44.7,50.38,D,Pass,40–55
STU0003,Female,19,6.3,61.2,7.1,Yes,Yes,Master,59.5,52.6,36.1,51.8,37.4,47.48,D,Pass,40–55
STU0004,Male,19,8.0,84.8,6.2,Yes,Yes,High School,51.0,50.0,40.1,59.2,64.6,52.98,D,Pass,40–55
STU0005,Male,15,4.5,70.2,7.8,Yes,No,Bachelor,34.8,25.7,40.6,26.5,33.5,32.22,F,Fail,Below 40
STU0006,Male,15,4.5,72.2,7.5,No,Yes,High School,38.6,38.9,44.0,41.9,44.9,41.66,D,Pass,40–55
STU0007,Female,19,8.2,70.9,8.1,No,No,Master,60.6,53.1,55.7,64.5,50.8,56.94,C,Pass,55–70
STU0008,Female,16,6.5,67.6,7.8,Yes,Yes,High School,48.1,51.4,32.8,42.7,30.6,41.12,D,Pass,40–55
STU0009,Female,19,4.1,78.6,8.3,No,Yes,Master,29.5,48.4,37.4,53.3,35.3,40.78,D,Pass,40–55
STU0010,Female,19,6.1,68.0,6.4,Yes,Yes,Bachelor,40.5,44.2,29.2,57.7,35.3,41.38,D,Pass,40–55
STU0011,Male,17,4.1,81.2,8.6,Yes,No,Bachelor,35.8,57.4,50.3,57.3,40.9,48.34,D,Pass,40–55
STU0012,Male,17,4.1,77.4,7.2,No,Yes,No Education,38.9,41.5,31.9,42.5,30.0,36.96,F,Fail,Below 40
STU0013,Male,17,5.5,75.1,9.5,No,Yes,Bachelor,47.9,41.4,53.3,50.3,51.9,48.96,D,Pass,40–55
STU0014,Male,16,1.2,67.1,6.2,No,Yes,Bachelor,28.2,10.3,31.4,39.0,24.1,26.6,F,Fail,Below 40
STU0015,Male,16,1.6,71.1,9.1,No,Yes,High School,13.3,25.2,21.2,32.0,26.1,23.56,F,Fail,Below 40
STU0016,Male,19,3.9,87.1,7.2,Yes,Yes,Bachelor,50.1,38.6,33.7,36.6,46.9,41.18,D,Pass,40–55
STU0017,Female,17,3.0,84.0,6.2,No,Yes,PhD,39.1,45.7,39.6,32.6,44.8,40.36,D,Pass,40–55
STU0018,Female,16,5.6,66.3,6.4,Yes,Yes,Bachelor,53.5,46.6,36.5,44.8,42.2,44.72,D,Pass,40–55
STU0019,Female,15,3.2,79.2,6.6,No,Yes,Bachelor,40.0,25.9,37.2,23.6,30.3,31.4,F,Fail,Below 40
